merchant_id,FMer1,FMer2,FMer3
2632,43.0,4.0,21.0
4663,15191.0,76.0,1434.0
3381,122834.0,2487.0,21843.0
450,63042.0,1461.0,12285.0
6459,16.0,0.0,20.0
6901,13886.0,994.0,12781.0
1579,15.0,1.0,54.0
2099,16824.0,1705.0,9238.0
1569,33600.0,152.0,1070.0
4833,8321.0,116.0,759.0
8390,1047.0,214.0,2094.0
1041,8687.0,404.0,3555.0
7884,4754.0,367.0,2640.0
3051,0.0,0.0,2.0
3621,20779.0,1117.0,5939.0
2277,1623.0,41.0,447.0
1361,17.0,11.0,71.0
5341,36162.0,5653.0,36238.0
2709,35330.0,210.0,1965.0
6485,13439.0,3119.0,20898.0
7555,27713.0,1353.0,10556.0
2934,10533.0,1611.0,31723.0
7019,14004.0,41.0,904.0
6284,10624.0,41.0,205.0
4874,105.0,4.0,352.0
4433,5937.0,123.0,123.0
1539,0.0,0.0,22.0
7706,4730.0,45.0,764.0
4666,773.0,0.0,839.0
2454,258.0,72.0,494.0
760,44976.0,3140.0,18444.0
4142,3522.0,1403.0,11084.0
3710,5757.0,465.0,5389.0
4660,24867.0,31.0,169.0
6134,492.0,18.0,473.0
1940,12.0,0.0,24.0
8386,9917.0,92.0,524.0
4860,14102.0,131.0,131.0
6454,21575.0,107.0,2797.0
3403,401.0,148.0,967.0
2804,2214.0,26.0,378.0
2146,10075.0,97.0,1713.0
6424,8072.0,13.0,167.0
4442,146.0,2.0,20.0
1169,6569.0,478.0,4286.0
4195,1939.0,373.0,3312.0
6189,544.0,201.0,1268.0
6434,16529.0,186.0,1579.0
2241,84.0,14.0,198.0
8479,86.0,2.0,216.0
2786,686.0,61.0,962.0
4141,0.0,0.0,16.0
6504,1822.0,103.0,1269.0
1433,20467.0,740.0,9059.0
4048,460.0,61.0,61.0
1244,1740.0,32.0,437.0
1469,14531.0,679.0,13580.0
1320,71.0,15.0,174.0
4391,0.0,0.0,14.0
8236,85.0,28.0,206.0
1945,1706.0,456.0,5318.0
741,237.0,20.0,208.0
629,3555.0,21.0,656.0
8077,5530.0,11.0,324.0
7974,8753.0,378.0,4643.0
1941,2581.0,332.0,6031.0
8080,3.0,0.0,60.0
2461,361.0,112.0,443.0
8429,8.0,2.0,18.0
2664,11.0,2.0,29.0
5590,31.0,3.0,334.0
3786,6130.0,491.0,4331.0
2712,236.0,4.0,140.0
8244,31.0,12.0,29.0
2436,8831.0,626.0,10709.0
1520,8595.0,1108.0,1108.0
5021,14.0,0.0,6.0
2206,117.0,4.0,71.0
5152,1091.0,97.0,1179.0
2762,204.0,8.0,252.0
4225,12.0,2.0,31.0
7910,1817.0,659.0,2545.0
8037,5825.0,194.0,1620.0
2970,4720.0,429.0,5175.0
1180,19.0,2.0,60.0
1080,9138.0,193.0,4854.0
6362,606.0,34.0,455.0
4582,2636.0,72.0,1488.0
7717,7345.0,554.0,7397.0
6486,1057.0,12.0,560.0
3033,0.0,0.0,571.0
3329,0.0,0.0,18.0
6106,815.0,56.0,552.0
7901,0.0,0.0,21.0
2002,14.0,4.0,36.0
5999,0.0,0.0,6.0
6508,52.0,0.0,40.0
7564,65.0,2.0,330.0
7679,1467.0,289.0,2136.0
7013,7.0,1.0,47.0
2963,90.0,11.0,177.0
3961,0.0,0.0,44.0
1893,56.0,39.0,73.0
3394,263.0,114.0,558.0
5463,30.0,1.0,37.0
6830,38.0,0.0,326.0
3293,1500.0,189.0,2017.0
2046,3768.0,9.0,107.0
3525,35.0,2.0,255.0
662,0.0,0.0,23.0
3262,67.0,0.0,421.0
8606,7.0,1.0,17.0
1125,1155.0,170.0,3427.0
7265,11.0,1.0,13.0
2155,0.0,0.0,9.0
8369,2.0,0.0,3.0
7666,138.0,18.0,433.0
5430,26.0,0.0,17.0
171,1577.0,335.0,2319.0
4033,15.0,2.0,14.0
1566,4.0,0.0,30.0
5717,12875.0,294.0,3928.0
3046,470.0,45.0,331.0
2365,143.0,6.0,411.0
1637,109.0,4.0,218.0
112,25.0,3.0,61.0
3425,4.0,0.0,19.0
8229,0.0,0.0,17.0
8614,1195.0,146.0,1130.0
4679,27.0,3.0,38.0
4333,0.0,0.0,14.0
924,404.0,53.0,431.0
5696,72.0,4.0,50.0
611,567.0,117.0,1011.0
539,34.0,2.0,417.0
6801,2.0,0.0,38.0
8580,623.0,87.0,610.0
2588,5.0,0.0,9.0
7422,2465.0,480.0,1161.0
6025,154.0,19.0,340.0
4970,5.0,5.0,5.0
4579,2034.0,160.0,2372.0
3939,2241.0,180.0,2149.0
3888,2884.0,6.0,66.0
5280,5.0,0.0,5.0
1379,3530.0,732.0,7227.0
1508,0.0,0.0,21.0
3532,10066.0,1315.0,22827.0
7354,1239.0,86.0,1807.0
5106,227.0,38.0,226.0
5934,0.0,0.0,6.0
2199,51.0,0.0,55.0
6885,1059.0,241.0,1440.0
3283,995.0,469.0,1527.0
7009,18.0,1.0,17.0
1860,664.0,47.0,302.0
2896,0.0,0.0,62.0
