user_id,merchant_id,coupon_id,discount_rate,distance,date_received,date
1439408,2632,8591,20:1,0,20160516,20160613
1113008,1361,11166,20:1,0,20160515,20160521
2881376,8390,7531,20:5,0,20160321,20160329
114747,6901,2366,30:5,0,20160523,20160605
114747,5341,111,30:5,0,20160127,20160221
114747,5341,111,30:5,0,20160207,20160218
114747,5341,7751,50:10,0,20160127,20160128
114747,2454,8088,20:5,0,20160324,20160331
114747,3381,9776,10:5,0,20160129,20160221
205174,1169,4627,50:20,0,20160206,20160214
1380272,2099,12034,100:10,1,20160201,20160205
1380272,5341,7751,50:10,0,20160201,20160206
1380272,5341,111,30:5,0,20160201,20160205
94491,2786,13163,30:10,8,20160321,20160327
756312,6485,10323,20:5,0,20160323,20160324
756312,6485,10323,20:5,0,20160323,20160329
1910192,8244,5756,30:5,10,20160528,20160626
1976240,4225,6478,50:5,3,20160525,20160608
3821408,2970,13704,100:30,null,20160522,20160604
222550,3381,9776,10:5,0,20160129,20160214
165334,6189,12807,30:1,0,20160610,20160610
165334,450,8555,30:5,0,20160131,20160223
1454000,4142,4773,100:10,0,20160127,20160210
3045728,3293,11364,30:5,0,20160228,20160305
3045728,3293,11364,30:5,0,20160305,20160308
141622,171,5825,20:5,1,20160525,20160531
74955,1520,8140,0.95,null,20160229,20160302
74955,4033,13517,30:5,10,20160506,20160514
141718,3621,2705,20:5,0,20160522,20160607
232054,112,10175,100:30,2,20160525,20160621
994008,4142,4773,100:10,0,20160126,20160129
994008,4142,4773,100:10,0,20160124,20160126
994008,4142,4773,100:10,0,20160129,20160202
1398704,924,10164,0.95,null,20160314,20160315
601560,7422,4727,0.8,5,20160528,20160528
601560,7422,4727,0.8,5,20160611,20160611
568920,4970,11376,20:1,null,20160511,20160522
568920,4970,11376,20:1,null,20160501,20160511
568920,4970,11376,20:1,null,20160502,20160511
568920,4970,11376,20:1,null,20160505,20160511
568920,4970,11376,20:1,null,20160511,20160522
334252,450,11831,30:5,1,20160602,20160609
334252,3532,1563,30:5,2,20160523,20160524
2936672,3621,4823,20:5,0,20160611,20160614
1469360,3283,1531,10:5,0,20160326,20160329
1469360,3283,1531,10:5,0,20160326,20160328
142870,860,11426,50:5,0,20160605,20160625
67467,1169,10929,200:30,0,20160128,20160129
1346225,7113,1808,100:10,0,20160528,20160625
1346225,1379,1579,30:5,0,20160326,20160401
6986436,6021,4448,20:5,1,20160414,20160421
4019042,1398,13374,20:5,3,20160608,20160610
5941956,5341,111,30:5,0,20160203,20160209
6212292,3710,10263,100:10,2,20160202,20160220
1492145,6485,10323,20:5,null,20160327,20160329
1492145,6485,10323,20:5,null,20160327,20160329
6759108,4860,802,100:30,1,20160220,20160305
6759108,4860,9704,100:20,1,20160110,20160117
6759108,582,3193,100:20,9,20160416,20160423
6759108,582,3193,100:20,9,20160423,20160502
6759108,4860,9704,100:20,1,20160117,20160130
2201954,4130,1645,20:5,null,20160522,20160529
1562033,6494,9345,10:1,0,20160105,20160120
1562033,6494,9345,10:1,0,20160112,20160122
1562033,6494,9345,10:1,0,20160104,20160104
1562033,6494,9345,10:1,0,20160104,20160113
1562033,6494,9345,10:1,0,20160113,20160123
2738018,656,7605,10:1,null,20160520,20160521
3662690,4142,4773,100:10,0,20160123,20160201
3662690,4142,4773,100:10,0,20160128,20160201
3271010,5557,3589,100:10,1,20160611,20160612
7081668,6434,10050,50:5,0,20160125,20160131
7081668,6434,10050,50:5,0,20160124,20160214
3542882,4142,4773,100:10,0,20160211,20160213
3542882,4142,4773,100:10,0,20160129,20160201
3542882,4142,4773,100:10,0,20160126,20160201
3542882,4142,4773,100:10,0,20160129,20160129
3542882,4142,4773,100:10,0,20160127,20160129
3542882,4142,4773,100:10,0,20160127,20160129
3542882,4142,4773,100:10,0,20160125,20160126
3542882,4142,4773,100:10,0,20160126,20160126
3542882,4142,4773,100:10,0,20160125,20160125
3542882,4142,4773,100:10,0,20160126,20160127
3542882,4142,4773,100:10,0,20160127,20160127
3542882,4142,4773,100:10,0,20160126,20160127
3542882,4142,4773,100:10,0,20160127,20160127
3542882,4142,4773,100:10,0,20160126,20160127
3542882,4142,4773,100:10,0,20160129,20160201
3413858,1520,8140,0.95,null,20160203,20160203
4212420,4433,190,200:20,null,20160204,20160227
3435362,6135,10107,10:1,0,20160410,20160414
3435362,6135,6330,10:1,0,20160413,20160416
2793314,904,7534,20:5,0,20160324,20160401
2793314,904,7534,20:5,0,20160324,20160401
2793314,3381,11951,200:20,4,20160128,20160214
3585890,6683,12741,20:5,0,20160322,20160325
5091012,1379,1579,30:5,null,20160321,20160324
2814818,6683,861,20:5,0,20160525,20160601
869337,6485,10323,20:5,0,20160325,20160326
869337,6485,10323,20:5,0,20160325,20160326
705753,7717,3563,20:1,0,20160529,20160603
2562404,7555,9871,30:5,10,20160418,20160420
2069426,450,1613,30:5,0,20160610,20160624
1035609,7422,4727,0.8,2,20160428,20160428
3490148,2277,12287,30:10,0,20160606,20160630
5931720,1379,1579,30:5,0,20160325,20160326
2966372,187,2197,20:1,0,20160529,20160608
2977124,3293,2516,30:5,null,20160416,20160417
1620914,2731,3363,30:5,null,20160523,20160525
1620914,6885,5838,20:5,null,20160522,20160526
1620914,760,6103,20:5,null,20160525,20160528
1620914,2731,3363,30:5,null,20160525,20160530
1620914,760,6103,20:5,null,20160521,20160525
1620914,2731,319,20:5,null,20160514,20160523
1620914,6885,9581,20:5,null,20160522,20160601
2605412,6485,10323,20:5,0,20160322,20160328
2605412,6485,10323,20:5,0,20160322,20160328
1312178,760,6103,20:5,0,20160520,20160525
1312178,760,3811,30:5,0,20160324,20160326
5784264,6885,11540,10:1,0,20160203,20160208
1905074,7974,7745,50:5,0,20160321,20160325
756057,3621,4033,20:5,null,20160519,20160524
756057,3621,4033,20:5,null,20160610,20160620
5802696,2970,5619,100:10,10,20160317,20160416
2510180,7718,3916,0.95,0,20160517,20160517
562905,7555,5582,30:5,0,20160107,20160119
562905,7555,5582,30:5,0,20160119,20160126
562905,7555,7232,30:5,0,20160324,20160330
562905,7555,5582,30:5,0,20160126,20160202
3570020,7428,13916,20:1,4,20160603,20160608
2788196,7428,13916,20:1,0,20160516,20160530
2788196,7428,7744,30:5,0,20160321,20160327
2788196,7428,13916,20:1,0,20160530,20160620
534489,2020,11429,100:10,0,20160220,20160304
2674532,450,1532,30:5,3,20160516,20160615
